frame,class,confidence,x1,y1,x2,y2
0,weed,0.8100,202,486,374,608
1,weed,0.7855,199,486,375,610
2,weed,0.8450,199,484,373,613
3,weed,0.8288,198,485,372,609
4,weed,0.7726,192,485,372,611
5,weed,0.8212,191,486,371,609
6,weed,0.8411,191,485,371,609
7,weed,0.8338,192,485,370,607
8,weed,0.7933,191,487,368,608
9,weed,0.8221,193,485,368,609
10,weed,0.8155,192,487,367,609
11,weed,0.8115,192,487,367,609
12,weed,0.8136,192,487,367,609
13,weed,0.8210,193,486,367,608
14,weed,0.8213,193,486,367,606
15,weed,0.8172,190,485,367,608
16,weed,0.8454,191,484,367,608
17,weed,0.8316,191,485,366,608
18,weed,0.8433,190,484,364,606
19,weed,0.8603,191,484,364,605
20,weed,0.8612,192,483,364,606
21,weed,0.8631,191,482,364,606
22,weed,0.8536,190,482,364,607
23,weed,0.8457,193,483,364,608
24,weed,0.8327,193,484,363,610
25,weed,0.7977,192,483,364,622
26,weed,0.8012,192,482,363,615
27,weed,0.8311,192,483,361,612
28,weed,0.8413,193,483,361,614
29,weed,0.7678,190,482,361,620
30,weed,0.7791,187,480,360,626
31,weed,0.7972,189,482,360,629
32,weed,0.7768,185,483,359,624
33,weed,0.7397,184,484,358,620
34,weed,0.7071,184,484,358,617
35,weed,0.7552,184,484,357,618
36,weed,0.8100,183,483,357,612
37,weed,0.8143,184,483,356,610
38,weed,0.8099,186,482,356,610
39,weed,0.7361,187,481,356,613
40,weed,0.7423,186,479,356,619
41,weed,0.7332,186,478,356,629
42,weed,0.6848,187,480,355,628
43,weed,0.7408,188,481,355,620
44,weed,0.7063,188,482,355,613
45,weed,0.7479,187,484,355,611
46,weed,0.7529,186,484,355,610
47,weed,0.7753,187,483,355,612
48,weed,0.8024,186,482,355,613
49,weed,0.7918,186,482,355,615
50,weed,0.7915,186,481,355,615
51,weed,0.7957,186,481,355,615
52,weed,0.7962,185,480,354,613
53,weed,0.7947,185,481,354,612
54,weed,0.7842,185,481,354,612
55,weed,0.7892,185,481,353,614
56,weed,0.7975,184,481,353,612
57,weed,0.7756,184,482,353,612
58,weed,0.7767,184,482,353,612
59,weed,0.7791,184,482,353,612
60,weed,0.7737,184,482,353,612
61,weed,0.7520,184,482,353,613
62,weed,0.7586,184,482,353,614
63,weed,0.7385,184,483,353,615
64,weed,0.7568,184,482,353,616
65,weed,0.7510,184,483,353,616
66,weed,0.7680,185,482,353,615
67,weed,0.7670,185,482,353,615
68,weed,0.7594,185,482,353,615
69,weed,0.7121,184,482,353,616
70,weed,0.7125,183,482,352,616
71,weed,0.7130,183,482,352,616
72,weed,0.7133,183,482,352,616
73,weed,0.7132,183,482,352,616
74,weed,0.7128,183,482,352,616
75,weed,0.7127,183,482,352,616
76,weed,0.7137,183,482,352,616
77,weed,0.7175,183,482,352,616
78,weed,0.7205,183,482,352,616
79,weed,0.7255,183,482,352,616
80,weed,0.7257,183,482,352,616
81,weed,0.7239,183,482,352,615
82,weed,0.7270,182,482,352,615
83,weed,0.7253,183,482,352,615
84,weed,0.7415,183,482,352,616
85,weed,0.7430,183,481,352,615
86,weed,0.7460,183,481,352,615
87,weed,0.7660,183,481,352,615
88,weed,0.7571,182,481,352,614
89,weed,0.3016,175,482,351,613
101,weed,0.7638,177,484,354,615
102,weed,0.7653,180,482,356,613
103,weed,0.7685,181,482,356,613
104,weed,0.7707,182,482,356,612
105,weed,0.7657,182,482,356,612
106,weed,0.7855,182,482,356,612
107,weed,0.7839,182,482,356,612
108,weed,0.7739,182,482,355,612
109,weed,0.5512,175,483,356,614
110,weed,0.3646,163,486,356,617
116,weed,0.4177,153,459,357,618
117,weed,0.6475,157,471,356,620
118,weed,0.6791,159,478,356,619
119,weed,0.2938,148,474,358,623
120,weed,0.4314,148,471,357,618
129,weed,0.2562,41,29,561,579
141,weed,0.2644,55,528,572,1062
176,weed,0.2670,72,528,569,1071
260,weed,0.2743,49,631,573,1075
261,weed,0.3328,52,610,572,1075
262,weed,0.2993,48,646,569,1076
263,weed,0.3565,53,585,553,1076
266,weed,0.2907,186,477,346,635
267,weed,0.2775,184,477,346,633
268,weed,0.3282,183,477,346,633
269,weed,0.2717,183,478,346,633
300,weed,0.2974,29,7,566,573
302,weed,0.2607,32,14,560,562
303,weed,0.3471,29,6,568,559
303,weed,0.2913,66,577,572,1068
